# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 14 23:02:54 HKT 2024 [seed=1720969373677]
# outbreak.seq_run_2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.clock.rate	host.clock.rate	default.meanRate	host.meanRate	host.rates.human.pig	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	coalescent
3579000	-27051.792283720315	-177.31712809320254	-26874.47515562711	0.9489406283061287	2023.3324801367212	16.619300988494846	7.73352410480945	3.6019382505471835	0.963326791104432	0.33955870860382414	0.1878122164587	0.20135736542656413	0.27127170951091306	5.77048659537005E-4	0.3781785120366248	5.770486595370052E-4	0.3781785120366248	1.1114105820137645	-26830.6600798567	0.0	0.0	-43.81507577041063	-169.79391725842757
3580000	-27060.452907930292	-182.17272735403841	-26878.280180576254	0.862728067204467	2023.418692697823	16.86773590849958	7.5105770407553045	3.838293670444442	0.963326791104432	0.3338361420518771	0.1878122164587	0.20707993197851118	0.27127170951091306	5.544704154632893E-4	0.3818417047474054	5.544704154632891E-4	0.38184170474740536	0.6378904237072925	-26832.60509960007	0.0	0.0	-45.675080976181796	-174.79040320749291
3581000	-27058.78055894142	-176.9095142344797	-26881.87104470694	0.8905373754898378	2023.3908833895375	16.664110511270625	6.2143393255309665	3.220469106244642	0.9848665381746351	0.339178246930411	0.18299701986741965	0.2065530236912577	0.27127170951091306	6.011517707616826E-4	0.34351888570107314	6.011517707616825E-4	0.3435188857010733	0.3741144265589688	-26834.376130267665	0.0	0.0	-47.49491443927565	-171.306678042057
3582000	-27057.20003383738	-177.64393933905774	-26879.556094498323	0.8532014503290152	2023.4282193146985	16.609511915323107	7.022906350406737	3.748136957365067	0.9848665381746351	0.3284476307151348	0.1892662854994888	0.20555203243623504	0.2767340513491428	5.22803783570631E-4	0.33248344827460813	5.228037835706309E-4	0.3324834482746078	0.18417874203863782	-26829.694078472465	0.0	0.0	-49.862016025858566	-171.8673010910683
3583000	-27061.519709089378	-182.89922936665423	-26878.620479722726	0.8177154585177323	2023.4637053065096	16.19576131294761	9.120323681651973	3.672605921008833	0.9848665381746351	0.3284476307151348	0.18523748102107493	0.20626807609393968	0.280046812169852	5.438144146031114E-4	0.5760138614901318	5.438144146031111E-4	0.5760138614901321	0.9753676094264975	-26833.496845195852	0.0	0.0	-45.12363452687334	-172.01918823372552
3584000	-27053.342529820697	-174.20358265284628	-26879.138947167852	0.7967375717823527	2023.484683193245	15.820892481508777	8.181455363616164	4.0637224565415755	0.9848665381746351	0.3321464337571265	0.18777877389816336	0.2044525652618342	0.2756222270828773	5.605718970589429E-4	0.4204623271921477	5.605718970589427E-4	0.4204623271921479	0.6665599297750319	-26832.644806048553	0.0	0.0	-46.49414111930044	-166.1454958911439
3585000	-27054.603623426745	-179.3104690107686	-26875.293154415976	0.8140197207604932	2023.4674010442668	16.512077556209622	11.083056314194843	5.100128140951596	1.2662909187271327	0.3322356666510203	0.18797677976774915	0.19798676348553101	0.28180079009570097	4.936225825242182E-4	0.2428922758755143	4.936225825242182E-4	0.24289227587551432	1.0456490245781762	-26828.953559767768	0.0	0.0	-46.3395946482081	-172.44796843908156
3586000	-27068.595370841485	-189.23549196366093	-26879.359878877825	0.9067337197724652	2023.3746870452549	17.524424470808622	13.250615854248025	4.796645216129162	1.249342930091293	0.3322356666510203	0.19325403921784629	0.19390648628202367	0.28060380784911115	5.231588726015724E-4	0.3944597531931409	5.231588726015729E-4	0.3944597531931414	1.0757849719884316	-26833.0150788616	0.0	0.0	-46.34480001622563	-179.35949604552584
3587000	-27056.310356655067	-179.7169843352045	-26876.59337231986	0.8229233698942918	2023.458497395133	16.48256949966404	12.746269612395787	5.103473396984686	0.8938630728988373	0.328409721099932	0.19325403921784629	0.19773243183311195	0.28060380784911115	5.677784303928689E-4	0.35185299913495294	5.677784303928691E-4	0.35185299913495294	0.04462530764410695	-26831.534927202913	0.0	0.0	-45.05844511694998	-171.80447566642988
3588000	-27048.755706430253	-181.60949458223664	-26867.146211848016	0.8663788577210453	2023.4150419073064	16.504917926475343	9.998323265085181	5.070490679801473	1.1293952980818587	0.3355413579923159	0.1913081505614361	0.20326837127698433	0.2698821201692651	6.0687799629372E-4	0.32596586304340885	6.068779962937196E-4	0.32596586304340874	0.4899225211096144	-26820.699669981317	0.0	0.0	-46.44654186670023	-173.86759534032333
3589000	-27039.973659714644	-176.7206386101639	-26863.25302110448	0.891921529990221	2023.3894992350372	16.323410522294488	12.488558985780083	5.288630718128263	0.9473117291573444	0.3355413579923159	0.1913081505614361	0.19850994992978238	0.27464054151646705	5.887354198800329E-4	0.2878088727763786	5.887354198800329E-4	0.2878088727763785	0.08742113981274008	-26816.02027132703	0.0	0.0	-47.23274977744814	-169.75658627322403
3590000	-27042.288241859293	-174.46573568804257	-26867.82250617125	0.7590539258155685	2023.5223668392118	15.791970618276173	9.401356692507441	4.250600782638426	1.0255595145065215	0.3355413579923159	0.1913081505614361	0.19850994992978238	0.27464054151646705	6.021624346069595E-4	0.2641768097593009	6.021624346069593E-4	0.26417680975930097	1.398747598919611	-26824.52717150939	0.0	0.0	-43.295334661859705	-168.00922385422274
3591000	-27045.618537017144	-173.38824541449327	-26872.23029160265	0.7816754027048398	2023.4997453623225	15.266224834378026	11.243276969078998	5.180334821650896	1.1033435513638479	0.3355413579923159	0.18247492959046435	0.2033497384322699	0.2786339739849513	5.998395816492348E-4	0.5493845479374974	5.998395816492352E-4	0.5493845479374976	0.8768594685795423	-26828.78787010302	0.0	0.0	-43.442421499628	-161.70294188301108
3592000	-27056.65894628531	-171.00645416296317	-26885.65249212235	0.806251739172226	2023.4751690258552	15.38101821515649	9.232477238404735	4.746983068843037	0.9460875536804124	0.3355413579923159	0.18247492959046435	0.19821207558936213	0.2837716368278591	7.301366463321745E-4	0.4210745208601152	7.301366463321738E-4	0.42107452086011493	0.09123922793927515	-26838.11946337606	0.0	0.0	-47.53302874628808	-162.74523439314527
3593000	-27040.119777888638	-164.12948664921092	-26875.99029123943	0.8394709744774754	2023.4419497905499	14.93317229758856	6.495667695685024	3.7385202743448716	0.9460875536804124	0.3355413579923159	0.18247492959046435	0.1957597902407331	0.2862239221764882	6.707627719558349E-4	0.33167357983314133	6.707627719558343E-4	0.3316735798331414	2.1638818453932154	-26826.360288234864	0.0	0.0	-49.63000300456383	-156.8126970579575
3594000	-27030.253403980165	-155.8733683062681	-26874.380035673898	0.8386380758356191	2023.4427826891917	14.172438667911162	5.000041650712043	3.7385202743448716	0.7354962688256946	0.3384448123246405	0.18247492959046435	0.1957597902407331	0.28332046784416354	6.715928845060213E-4	0.4289228113587624	6.715928845060217E-4	0.42892281135876253	0.7754140504727395	-26826.91903056932	0.0	0.0	-47.46100510457896	-148.96124973050027
3595000	-27030.43657075624	-159.87308933533365	-26870.563481420904	0.9221477507108946	2023.3592730143166	14.22920557248324	3.8658716187553064	2.8288695268685293	0.9097766103447508	0.3301062350474359	0.19529927567610547	0.20161160507298556	0.27298288420347455	6.439723355724358E-4	0.7988697273113491	6.439723355724354E-4	0.7988697273113495	0.07982143935747398	-26826.950256334818	0.0	0.0	-43.61322508608643	-149.20024854803478
3596000	-27039.43790648997	-159.45024667738818	-26879.98765981258	0.8680504561979097	2023.4133703088296	14.387111845432127	3.640091224582976	2.7212784814056112	1.3103885340609285	0.33016527433343495	0.19529927567610547	0.2006807233552563	0.27385472663520477	6.056371555890746E-4	0.651658851267479	6.056371555890742E-4	0.651658851267479	0.32933536845437755	-26833.90068358894	0.0	0.0	-46.086976223638224	-150.67958635409576
3597000	-27045.386253073524	-157.28279165913648	-26888.103461414386	0.977963514388	2023.3034572506394	14.975953957314122	3.188876974791666	1.4561749768253835	0.9032930095330327	0.3314479457648907	0.19401660424464975	0.2006807233552563	0.27385472663520477	6.994911213198143E-4	0.30958341083089186	6.99491121319815E-4	0.30958341083089197	0.10210617966665575	-26837.31292107677	0.0	0.0	-50.79054033761784	-155.36845271379403
3598000	-27048.775335783343	-156.00649868479962	-26892.76883709854	0.9589932861726146	2023.3224274788547	14.39582797236564	3.547062856694461	1.9796204899121332	0.8258461061442687	0.3359133379787883	0.18955121203075212	0.2006807233552563	0.27385472663520477	6.855224810799913E-4	0.7629510216731863	6.855224810799921E-4	0.7629510216731871	0.12623883379105486	-26847.01288071631	0.0	0.0	-45.75595638223178	-146.63519175809583
