# BEAST v10.5.0-beta4 Prerelease #46f5180b7
# Generated Mon Oct 28 22:11:02 CET 2024 [seed=1730149708890]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
5600	-20534.43195924863	-184.5248800621147	-20349.907079186516	3.825263825195869	2005.5777361748042	64.13666264481576	108.93538411501	1.7376996424730728	10.977913118291859	0.33424576574755144	0.18365417630984912	0.2478187935179641	0.23428126442463526	0.038631490559357815	3.3270386505102767E-4	3.3270386505102794E-4	-20349.907079186516	0.0	-171.23719056149108
5700	-20534.0741217891	-183.78624185205774	-20350.287879937045	3.7511161032704825	2005.6518838967295	62.22841916123888	108.93538411501	1.7376996424730728	10.977913118291859	0.33424576574755144	0.18365417630984912	0.2478187935179641	0.23428126442463526	0.05679762867711703	3.392803700138563E-4	3.392803700138565E-4	-20350.287879937045	0.0	-170.437556519159
5800	-20541.55415025424	-184.03920644935272	-20357.514943804887	3.7511161032704825	2005.6518838967295	62.568598891624355	108.93538411501	1.7376996424730728	10.977913118291859	0.33424576574755144	0.18365417630984912	0.2478187935179641	0.23428126442463526	0.06404527950357078	2.8453346222931733E-4	2.845334622293174E-4	-20357.514943804887	0.0	-170.77004968252612
5900	-20540.534415539463	-185.86351771313585	-20354.670897826327	4.009541753363619	2005.3934582466363	67.90039395670209	108.93538411501	1.600339407526441	10.977913118291859	0.33424576574755144	0.18365417630984912	0.2478187935179641	0.23428126442463526	0.06398245249312087	2.943774340274644E-4	2.943774340274645E-4	-20354.670897826327	0.0	-172.61755793430092
6000	-20538.482839981247	-183.55412816570805	-20354.928711815537	3.487004441884999	2005.9159955581151	66.76593722999422	101.31144043722087	1.600339407526441	10.977913118291859	0.33424576574755144	0.18365417630984912	0.2478187935179641	0.23428126442463526	0.034751824934546885	2.943774340274644E-4	2.943774340274645E-4	-20354.928711815537	0.0	-170.43864614376577
6100	-20539.785022456148	-183.22155819346096	-20356.563464262686	3.2747728392813324	2006.1282271607188	66.39511586364952	101.31144043722087	1.4486443756695921	10.977913118291859	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.034751824934546885	2.943774340274644E-4	2.943774340274643E-4	-20356.563464262686	0.0	-170.10491751764206
6200	-20538.444573729455	-183.74968044197186	-20354.694893287484	3.386511380476036	2006.016488619524	67.73235149619877	92.11574023759432	1.5823705384645204	10.977913118291859	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.034751824934546885	2.943774340274644E-4	2.9437743402746443E-4	-20354.694893287484	0.0	-170.745533124767
6300	-20529.137243115758	-182.6219734102743	-20346.515269705484	3.398271563879149	2006.0047284361208	67.9535549324649	114.173628869518	1.5823705384645204	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.034751824934546885	2.943774340274644E-4	2.943774340274644E-4	-20346.515269705484	0.0	-169.26953995882033
6400	-20536.502718418255	-183.2595992758712	-20353.243119142382	3.398271563879149	2006.0047284361208	68.39494400846642	118.99637325116595	1.5799667405620461	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.034751824934546885	2.943774340274644E-4	2.9437743402746454E-4	-20353.243119142382	0.0	-169.86414311379212
6500	-20536.445630209542	-183.57727447099694	-20352.868355738545	3.398271563879149	2006.0047284361208	68.69025041170707	118.99637325116595	1.5799667405620461	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.06211715403957113	2.943774340274644E-4	2.9437743402746427E-4	-20352.868355738545	0.0	-170.1291549040972
6600	-20532.98782020764	-186.98153631290316	-20346.006283894738	3.9045472706415456	2005.4984527293584	70.87257877806438	118.99637325116595	1.5799667405620461	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.06211715403957113	2.8892126588949156E-4	2.8892126588949156E-4	-20346.006283894738	0.0	-173.55815343269424
6700	-20526.138879519218	-183.5057718166865	-20342.63310770253	3.4295345901348036	2005.9734654098652	64.28154896454151	118.99637325116595	1.6537734362230343	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.04954037706123432	3.1460117882737724E-4	3.146011788273772E-4	-20342.63310770253	0.0	-170.01567672510595
6800	-20519.70971767117	-181.5948835960695	-20338.1148340751	3.4295345901348036	2005.9734654098652	63.28279153742978	106.83957590051222	1.6537734362230343	11.648180120459026	0.33424576574755144	0.1913480209340388	0.24012494889377442	0.23428126442463526	0.04954037706123432	3.1460117882737724E-4	3.1460117882737735E-4	-20338.1148340751	0.0	-168.21708674392954
6900	-20518.9105374499	-179.77082076659786	-20339.139716683305	3.336238838292425	2006.0667611617075	62.53413016692131	106.83957590051222	1.7405885864270245	11.15483720226797	0.33424576574755144	0.1913480209340388	0.2441249132033356	0.23028130011507408	0.04954037706123432	3.233987964236706E-4	3.233987964236706E-4	-20339.139716683305	0.0	-166.45508126204635
7000	-20513.697993551345	-179.45682674797308	-20334.24116680337	3.3929605585777822	2006.0100394414224	62.326782887436416	106.83957590051222	1.7405885864270245	11.15483720226797	0.33424576574755144	0.1913480209340388	0.2441249132033356	0.23028130011507408	0.09184598879970965	3.227617107028849E-4	3.227617107028847E-4	-20334.24116680337	0.0	-166.05590811192715
7100	-20513.442729219583	-179.2751119679769	-20334.167617251605	3.3929605585777822	2006.0100394414224	61.22210181337679	106.83957590051222	1.7405885864270245	11.15483720226797	0.33424576574755144	0.1913480209340388	0.2441249132033356	0.23028130011507408	0.09184598879970965	3.227617107028849E-4	3.227617107028848E-4	-20334.167617251605	0.0	-165.86560839556773
7200	-20512.543973475604	-178.40149801962633	-20334.142475455978	2.972490330169143	2006.4305096698308	61.08737569522384	106.83957590051222	1.7405885864270245	11.15483720226797	0.33424576574755144	0.1913480209340388	0.2441249132033356	0.23028130011507408	0.296762826542124	3.2525996545591074E-4	3.252599654559108E-4	-20334.142475455978	0.0	-164.57709490412216
7300	-20510.21264406636	-178.40265010808474	-20331.809993958275	2.845947643168353	2006.5570523568317	60.14388795294237	106.83957590051222	1.7405885864270245	11.15483720226797	0.33424576574755144	0.1913480209340388	0.2441249132033356	0.23028130011507408	0.3117122800558066	3.2525996545591074E-4	3.252599654559105E-4	-20331.809993958275	0.0	-164.54087226239886
